# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=8
# N_SYNC=2
# N_DOWN=8
# N_SLOTS=54
# MIN_RUN=7
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.035,11,18,21,28,70.000,186.000,0.000,0,0.000,-8.739,-8.739,-0.150317,-0.149198,-0.000559,186.000,46.5000,199.500,1
0.077,9,16,19,26,86.000,171.000,0.500,1,0.000,4.882,4.882,-0.149211,-0.149836,0.000312,170.500,42.6250,199.000,1
0.106,2,9,12,19,7.000,248.000,-0.500,1,0.000,-5.689,-5.689,-0.149997,-0.149269,-0.000364,248.500,62.1250,200.000,1
0.111,3,10,13,20,63.000,193.000,0.000,0,0.000,0.383,0.383,-0.149625,-0.149674,0.000025,193.000,48.2500,200.000,1
0.118,5,12,15,22,122.000,135.000,0.500,1,0.000,5.662,5.662,-0.149308,-0.150033,0.000362,134.500,33.6250,199.000,1
0.127,1,8,12,19,217.000,39.000,0.000,0,0.000,23.207,23.207,-0.145252,-0.148223,0.001485,39.000,9.7500,200.667,1
0.135,0,7,11,18,191.000,65.000,0.000,0,0.000,61.862,61.862,-0.141619,-0.149537,0.003959,65.000,16.2500,200.333,1
0.143,4,11,15,22,175.000,81.000,0.000,0,0.000,78.123,78.123,-0.140016,-0.150016,0.005000,81.000,20.2500,200.000,1
0.156,0,7,9,16,151.000,105.000,0.000,0,0.000,33.776,33.776,-0.150669,-0.154992,0.002162,105.000,26.2500,200.000,1
0.184,1,8,11,18,249.000,7.000,0.000,0,0.000,-3.693,-3.693,-0.150600,-0.150127,-0.000236,7.000,1.7500,200.000,1
0.192,1,8,12,19,115.000,141.000,0.000,0,0.000,95.818,95.818,-0.138120,-0.150385,0.006132,141.000,35.2500,217.120,0
0.198,1,8,11,18,97.000,159.000,0.000,0,0.000,4.942,4.942,-0.149930,-0.150562,0.000316,159.000,39.7500,200.000,1
0.206,4,11,14,21,57.000,199.000,0.000,0,0.000,8.127,8.127,-0.148299,-0.149340,0.000520,199.000,49.7500,200.000,1
0.237,4,11,14,21,231.000,25.000,0.000,0,0.000,5.728,5.728,-0.148857,-0.149590,0.000367,25.000,6.2500,200.000,1
0.250,5,12,15,22,237.000,19.000,0.000,0,0.000,-2.039,-2.039,-0.149457,-0.149196,-0.000130,19.000,4.7500,200.000,1
0.256,4,11,15,22,115.000,141.000,0.000,0,0.000,34.028,34.028,-0.145054,-0.149410,0.002178,141.000,35.2500,217.120,0
0.262,0,7,27,34,129.000,127.000,0.000,0,0.000,-15.830,-15.830,-0.149515,-0.147489,-0.001013,127.000,31.7500,241.774,0
0.286,2,9,12,19,167.000,89.000,0.000,0,0.000,-28.769,-28.769,-0.149250,-0.145567,-0.001841,89.000,22.2500,200.000,1
0.292,0,7,9,16,155.000,101.000,0.000,0,0.000,-41.336,-41.336,-0.149012,-0.143721,-0.002646,101.000,25.2500,200.000,1
0.310,5,12,15,22,167.000,89.000,0.000,0,0.000,-42.541,-42.541,-0.149253,-0.143808,-0.002723,89.000,22.2500,200.000,1
0.315,1,8,47,54,201.000,55.000,0.000,0,0.000,-34.957,-34.957,-0.149965,-0.145491,-0.002237,55.000,13.7500,237.825,0
0.321,1,8,11,18,67.000,189.000,0.000,0,0.000,20.569,20.569,-0.149321,-0.151954,0.001316,189.000,47.2500,200.000,1
0.326,1,8,11,18,97.000,159.000,0.000,0,0.000,-1.985,-1.985,-0.150366,-0.150112,-0.000127,159.000,39.7500,200.000,1
0.332,0,7,10,17,83.000,173.000,0.000,0,0.000,3.753,3.753,-0.149392,-0.149872,0.000240,173.000,43.2500,200.000,1
0.374,0,7,10,17,79.000,177.000,0.000,0,0.000,0.222,0.222,-0.149500,-0.149528,0.000014,177.000,44.2500,199.500,1
0.392,4,11,14,21,189.000,67.000,0.000,0,0.000,-103.699,-103.699,-0.154447,-0.141174,-0.006637,67.000,16.7500,200.000,1
0.439,6,13,16,23,234.000,21.000,-0.500,1,0.000,-11.150,-11.150,-0.147763,-0.146335,-0.000714,21.500,5.3750,201.000,1
0.448,4,11,14,21,40.000,215.000,-0.500,1,0.000,-12.257,-12.257,-0.150431,-0.148862,-0.000784,215.500,53.8750,200.000,1
0.484,14,21,42,49,18.000,238.000,0.000,0,0.000,-16.242,-16.242,-0.149889,-0.147810,-0.001039,238.000,59.5000,236.804,0
0.490,5,12,15,22,56.000,200.000,0.000,0,0.000,-15.887,-15.887,-0.150810,-0.148776,-0.001017,200.000,50.0000,200.000,1
0.499,4,11,14,21,142.000,114.000,0.000,0,0.000,130.609,130.609,-0.138196,-0.154914,0.008359,114.000,28.5000,199.500,1
0.513,3,10,31,38,104.000,152.000,0.000,0,0.000,4.335,4.335,-0.149216,-0.149771,0.000277,152.000,38.0000,222.524,0
0.521,6,13,16,23,246.000,10.000,0.000,0,0.000,3.739,3.739,-0.148970,-0.149448,0.000239,10.000,2.5000,200.000,1
0.559,2,9,30,37,146.000,110.000,0.000,0,0.000,77.580,77.580,-0.141394,-0.151324,0.004965,110.000,27.5000,235.361,0
0.566,2,9,12,19,90.000,166.000,0.000,0,0.000,-37.815,-37.815,-0.155423,-0.150583,-0.002420,166.000,41.5000,200.000,1
0.586,6,13,17,24,124.000,132.000,0.000,0,0.000,45.977,45.977,-0.145749,-0.151634,0.002943,132.000,33.0000,217.120,0
0.596,5,12,16,23,118.000,138.000,0.000,0,0.000,59.535,59.535,-0.143100,-0.150720,0.003810,138.000,34.5000,217.120,0
0.609,3,10,13,20,2.000,254.000,0.000,0,0.000,15.043,15.043,-0.148202,-0.150127,0.000963,254.000,63.5000,200.000,1
0.620,9,16,19,26,154.000,102.000,0.000,0,0.000,-1.132,-1.132,-0.146807,-0.146662,-0.000072,102.000,25.5000,200.000,1
0.640,0,7,10,17,66.000,190.000,0.000,0,0.000,-8.846,-8.846,-0.150406,-0.149274,-0.000566,190.000,47.5000,200.000,1
0.652,0,7,9,16,114.000,142.000,0.000,0,0.000,-7.547,-7.547,-0.149228,-0.148262,-0.000483,142.000,35.5000,200.000,1
0.658,4,11,14,21,184.000,72.000,0.000,0,0.000,-45.711,-45.711,-0.149850,-0.143999,-0.002926,72.000,18.0000,200.000,1
0.677,0,7,28,35,164.000,92.000,0.000,0,0.000,-74.373,-74.373,-0.151450,-0.141931,-0.004760,92.000,23.0000,236.271,0
0.704,9,16,19,26,92.000,164.000,0.000,0,0.000,-5.320,-5.320,-0.149887,-0.149206,-0.000340,164.000,41.0000,200.000,1
0.745,6,13,16,23,114.000,142.000,0.000,0,0.000,13.115,13.115,-0.149468,-0.151147,0.000839,142.000,35.5000,199.500,1
0.752,4,11,32,39,80.000,176.000,0.000,0,0.000,-4.644,-4.644,-0.150248,-0.149654,-0.000297,176.000,44.0000,244.549,0
0.758,2,9,30,37,180.000,76.000,0.000,0,0.000,-10.885,-10.885,-0.150981,-0.149587,-0.000697,76.000,19.0000,228.233,0
0.764,1,8,11,18,74.000,182.000,0.000,0,0.000,-7.948,-7.948,-0.150579,-0.149562,-0.000509,182.000,45.5000,199.000,1
0.781,0,7,10,17,84.000,173.000,0.500,1,0.000,9.463,9.463,-0.148897,-0.150109,0.000606,172.500,43.1250,199.000,1
0.787,16,23,26,33,104.000,153.000,0.500,1,15625.000,-7.073,15617.927,-0.150063,-0.149158,-0.000453,152.500,38.1250,199.000,1
0.823,8,15,36,43,11.000,244.000,-0.500,1,0.000,-11.964,-11.964,-0.150281,-0.148750,-0.000766,244.500,61.1250,227.968,0
0.834,5,12,15,22,157.000,99.000,0.000,0,0.000,115.625,115.625,-0.138891,-0.153691,0.007400,99.000,24.7500,199.500,1
