# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.057,4,7,11,14,160.000,96.000,0.000,0,0.000,279.458,279.458,-0.128042,-0.163813,0.017885,96.000,24.0000,199.667,1
0.061,1,4,7,10,8.000,248.000,0.000,0,0.000,87.204,87.204,-0.163100,-0.174262,0.005581,248.000,62.0000,200.000,1
0.066,0,3,6,9,220.000,36.000,0.000,0,0.000,41.492,41.492,-0.157916,-0.163227,0.002656,36.000,9.0000,200.000,1
0.070,12,15,18,21,228.000,28.000,0.000,0,0.000,47.401,47.401,-0.161292,-0.167360,0.003034,28.000,7.0000,200.000,1
0.077,1,4,7,10,34.000,222.000,0.000,0,0.000,57.495,57.495,-0.163930,-0.171290,0.003680,222.000,55.5000,200.000,1
0.084,0,3,5,8,8.000,248.000,0.000,0,0.000,-7.529,-7.529,-0.171438,-0.170474,-0.000482,248.000,62.0000,200.000,1
0.091,0,3,5,8,244.000,12.000,0.000,0,0.000,-36.151,-36.151,-0.173201,-0.168574,-0.002314,12.000,3.0000,200.000,1
0.095,2,5,8,11,174.000,82.000,0.000,0,0.000,264.691,264.691,-0.136601,-0.170481,0.016940,82.000,20.5000,200.000,1
0.102,1,4,17,20,232.000,24.000,0.000,0,0.000,51.040,51.040,-0.163640,-0.170173,0.003267,24.000,6.0000,198.401,0
0.106,2,5,8,11,138.000,118.000,0.000,0,0.000,-110.396,-110.396,-0.182719,-0.168589,-0.007065,118.000,29.5000,200.000,1
0.110,5,8,11,14,138.000,118.000,0.000,0,0.000,-27.923,-27.923,-0.174070,-0.170496,-0.001787,118.000,29.5000,200.000,1
0.113,0,3,5,8,232.000,24.000,0.000,0,0.000,-6.884,-6.884,-0.169134,-0.168253,-0.000441,24.000,6.0000,200.000,1
0.139,1,4,7,10,2.000,254.000,0.000,0,0.000,-42.022,-42.022,-0.166886,-0.161508,-0.002689,254.000,63.5000,200.000,1
0.147,0,3,6,9,8.000,248.000,0.000,0,0.000,-50.263,-50.263,-0.171221,-0.164788,-0.003217,248.000,62.0000,200.000,1
