# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=2048
# S_SYNC=200
# N_UP=8
# N_SYNC=2
# N_DOWN=8
# N_SLOTS=54
# MIN_RUN=7
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=1953.125
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.078,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,15.359,-1937.766,-0.029928,-0.045655,0.007864,1416.000,354.0000,100.000,0
0.108,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,12.616,-1940.509,-0.031753,-0.044672,0.006459,1416.000,354.0000,100.000,0
0.141,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,9.314,-1943.811,-0.033359,-0.042897,0.004769,1416.000,354.0000,100.000,0
0.173,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,8.435,-1944.690,-0.034031,-0.042668,0.004319,1416.000,354.0000,100.000,0
0.212,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,5.502,-1947.623,-0.035879,-0.041513,0.002817,1416.000,354.0000,100.000,0
0.243,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,3.632,-1949.493,-0.035608,-0.039328,0.001860,1416.000,354.0000,100.000,0
0.273,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,0.421,-1952.704,-0.038475,-0.038906,0.000216,1416.000,354.0000,100.000,0
0.300,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,-1.725,-1954.850,-0.039520,-0.037754,-0.000883,1416.000,354.0000,100.000,0
0.329,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,-3.428,-1956.553,-0.039925,-0.036415,-0.001755,1416.000,354.0000,100.000,0
0.357,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,-5.001,-1958.126,-0.041773,-0.036651,-0.002561,1416.000,354.0000,100.000,0
0.385,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,-8.556,-1961.681,-0.042744,-0.033982,-0.004381,1416.000,354.0000,100.000,0
0.414,1,8,11,18,631.000,1415.000,-1.000,0,-1953.125,-11.570,-1964.695,-0.044315,-0.032467,-0.005924,1416.000,354.0000,100.000,0
0.444,2,9,11,18,631.000,1415.000,-1.000,0,-1953.125,-8.298,-1961.423,-0.039817,-0.031320,-0.004249,1416.000,354.0000,200.000,1
0.471,2,9,12,19,631.000,1415.000,-1.000,0,-1953.125,-0.192,-1953.317,-0.039647,-0.039450,-0.000098,1416.000,354.0000,200.000,1
0.500,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,20.962,-1932.163,-0.027013,-0.048478,0.010732,1417.000,354.2500,100.000,0
0.530,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,16.355,-1936.770,-0.029564,-0.046312,0.008374,1417.000,354.2500,100.000,0
0.558,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,13.210,-1939.915,-0.031721,-0.045248,0.006763,1417.000,354.2500,100.000,0
0.585,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,10.285,-1942.840,-0.032805,-0.043337,0.005266,1417.000,354.2500,100.000,0
0.673,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,5.401,-1947.724,-0.035567,-0.041098,0.002765,1417.000,354.2500,100.000,0
0.704,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,3.108,-1950.017,-0.036700,-0.039882,0.001591,1417.000,354.2500,100.000,0
0.736,1,8,11,18,630.000,1416.000,-1.000,0,-1953.125,0.752,-1952.373,-0.037880,-0.038650,0.000385,1417.000,354.2500,100.000,0
0.851,1,8,11,18,1936.000,110.000,-1.000,0,-1953.125,-1.012,-1954.137,-0.040534,-0.039498,-0.000518,111.000,27.7500,200.000,1
0.914,14,21,24,31,1032.000,1015.000,-0.500,1,0.000,-0.077,-0.077,-0.039736,-0.039657,-0.000039,1015.500,253.8750,200.000,1
1.101,4,11,13,20,197.000,1849.000,-1.000,0,-1953.125,0.831,-1952.294,-0.038735,-0.039586,0.000425,1850.000,462.5000,200.000,1
1.172,4,11,14,21,87.000,1959.000,-1.000,0,-1953.125,0.080,-1953.045,-0.039691,-0.039773,0.000041,1960.000,490.0000,200.000,1
1.200,0,7,10,17,1135.000,911.000,-1.000,0,-1953.125,-0.877,-1954.002,-0.036913,-0.036015,-0.000449,912.000,228.0000,200.000,1
