# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.495,1,4,7,10,137.000,119.000,0.000,0,0.000,474.043,474.043,-0.105683,-0.166360,0.030339,119.000,29.7500,228.000,0
0.499,0,3,5,8,253.000,3.000,0.000,0,0.000,-0.834,-0.834,-0.152375,-0.152268,-0.000053,3.000,0.7500,200.000,1
0.503,0,3,6,9,135.000,121.000,0.000,0,0.000,358.699,358.699,-0.112349,-0.158263,0.022957,121.000,30.2500,199.500,1
0.512,2,5,18,21,195.000,61.000,0.000,0,0.000,162.915,162.915,-0.131852,-0.152706,0.010427,61.000,15.2500,227.489,0
0.528,2,5,8,11,85.000,171.000,0.000,0,0.000,11.062,11.062,-0.149771,-0.151187,0.000708,171.000,42.7500,200.000,1
0.538,0,3,5,8,71.000,185.000,0.000,0,0.000,133.700,133.700,-0.132458,-0.149572,0.008557,185.000,46.2500,200.000,1
0.552,0,3,6,9,5.000,251.000,0.000,0,0.000,3.599,3.599,-0.147579,-0.148040,0.000230,251.000,62.7500,200.000,1
0.573,0,3,6,9,43.000,213.000,0.000,0,0.000,40.061,40.061,-0.146849,-0.151976,0.002564,213.000,53.2500,200.000,1
0.587,1,4,7,10,109.000,147.000,0.000,0,0.000,15.900,15.900,-0.149380,-0.151416,0.001018,147.000,36.7500,200.000,1
0.594,0,3,5,8,123.000,133.000,0.000,0,0.000,111.117,111.117,-0.135973,-0.150196,0.007111,133.000,33.2500,200.000,1
0.605,0,3,15,18,45.000,211.000,0.000,0,0.000,-0.651,-0.651,-0.150094,-0.150010,-0.000042,211.000,52.7500,232.485,0
0.625,2,5,8,11,87.000,169.000,0.000,0,0.000,14.861,14.861,-0.148829,-0.150731,0.000951,169.000,42.2500,200.000,1
0.629,0,3,5,8,193.000,63.000,0.000,0,0.000,-100.910,-100.910,-0.151502,-0.138586,-0.006458,63.000,15.7500,200.000,1
0.648,1,4,7,10,33.000,223.000,0.000,0,0.000,-9.496,-9.496,-0.150829,-0.149613,-0.000608,223.000,55.7500,200.000,1
0.652,1,4,7,10,89.000,167.000,0.000,0,0.000,46.794,46.794,-0.149776,-0.155765,0.002995,167.000,41.7500,200.000,1
0.661,0,3,6,9,15.000,241.000,0.000,0,0.000,-29.922,-29.922,-0.151726,-0.147896,-0.001915,241.000,60.2500,200.000,1
0.672,1,4,7,10,101.000,155.000,0.000,0,0.000,-9.262,-9.262,-0.152196,-0.151011,-0.000593,155.000,38.7500,200.000,1
0.684,0,3,6,9,119.000,137.000,0.000,0,0.000,-8.573,-8.573,-0.151600,-0.150503,-0.000549,137.000,34.2500,200.000,1
0.692,0,3,5,8,109.000,147.000,0.000,0,0.000,-28.049,-28.049,-0.153412,-0.149821,-0.001795,147.000,36.7500,200.000,1
0.696,0,3,5,8,171.000,85.000,0.000,0,0.000,-231.516,-231.516,-0.149930,-0.120296,-0.014817,85.000,21.2500,200.000,1
0.704,2,5,8,11,87.000,169.000,0.000,0,0.000,-5.356,-5.356,-0.151442,-0.150757,-0.000343,169.000,42.2500,199.500,1
0.720,2,5,8,11,77.000,179.000,0.000,0,0.000,-49.290,-49.290,-0.151699,-0.145390,-0.003155,179.000,44.7500,199.500,1
0.727,0,3,6,9,35.000,221.000,0.000,0,0.000,-21.857,-21.857,-0.149446,-0.146648,-0.001399,221.000,55.2500,200.000,1
0.751,0,3,6,9,73.000,183.000,0.000,0,0.000,19.795,19.795,-0.149672,-0.152206,0.001267,183.000,45.7500,199.000,1
0.766,0,3,5,8,199.000,57.000,0.000,0,0.000,-157.364,-157.364,-0.145372,-0.125229,-0.010071,57.000,14.2500,200.000,1
