# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=2048
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=1953.125
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.054,0,3,7,10,422.000,1624.000,-1.000,0,-1953.125,18.975,-1934.150,-0.024900,-0.044330,0.009715,1625.000,406.2500,134.293,0
0.073,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,14.914,-1938.211,-0.032194,-0.047466,0.007636,1625.000,406.2500,100.000,0
0.091,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,14.445,-1938.680,-0.032271,-0.047063,0.007396,1625.000,406.2500,100.000,0
0.110,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,8.365,-1944.760,-0.035708,-0.044275,0.004283,1625.000,406.2500,100.000,0
0.127,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,3.774,-1949.351,-0.038837,-0.042702,0.001932,1625.000,406.2500,100.000,0
0.143,1,4,6,9,422.000,1624.000,-1.000,0,-1953.125,-4.201,-1957.326,-0.043642,-0.039341,-0.002151,1625.000,406.2500,200.000,1
0.158,0,3,7,10,422.000,1624.000,-1.000,0,-1953.125,2.314,-1950.811,-0.041723,-0.044092,0.001185,1625.000,406.2500,134.293,0
0.174,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,-9.518,-1962.643,-0.047006,-0.037260,-0.004873,1625.000,406.2500,100.000,0
0.190,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,-12.750,-1965.875,-0.047404,-0.034348,-0.006528,1625.000,406.2500,100.000,0
0.206,1,4,6,9,422.000,1624.000,-1.000,0,-1953.125,-10.520,-1963.645,-0.043936,-0.033163,-0.005386,1625.000,406.2500,200.000,1
0.222,1,4,7,10,422.000,1624.000,-1.000,0,-1953.125,-2.095,-1955.220,-0.047350,-0.045205,-0.001072,1625.000,406.2500,200.000,1
0.238,0,3,6,9,422.000,1624.000,-1.000,0,-1953.125,-24.478,-1977.603,-0.054269,-0.029204,-0.012533,1625.000,406.2500,100.000,0
